ci;ei;mi;mi2-5;data_type;id_sample;ab_unident;id_level_1;id_level_2;id_level_3;nematods_si;ab_omnivores;ab_predators;country_code;ab_fungivores;ab_herbivores;main_prog_name;precision_date;ab_bacterivores;additional_name;id_sampling_point;level_1_scale_obs;level_2_scale_obs;level_3_scale_obs;total_nem_biomass;ab_Total_nematodes;date_sample_collection;nematode_family_richness;nematode_genera_richness
;;NA;NULL;Data Microfauna;2008-02-26-D_IE_CreBeo_T-A-Biofert_B-2_P-NA_Data Microfauna;;A-Biofert;2;NA;;NA;NA;IE;NA;NA;crebeo;D;NA;Wicklow;2008-02-26-D_IE_CreBeo_T-A-Biofert_B-2_P-NA;T;B;P;;895;NULL;;NA
;;NA;NULL;Data Microfauna;2008-02-26-D_IE_CreBeo_T-A-Control_B-2_P-NA_Data Microfauna;;A-Control;2;NA;;NA;NA;IE;NA;NA;crebeo;D;NA;Wicklow;2008-02-26-D_IE_CreBeo_T-A-Control_B-2_P-NA;T;B;P;;522;NULL;;NA
;;NA;NULL;Data Microfauna;2008-02-26-D_IE_CreBeo_T-A-Control_B-3_P-NA_Data Microfauna;;A-Control;3;NA;;NA;NA;IE;NA;NA;crebeo;D;NA;Wicklow;2008-02-26-D_IE_CreBeo_T-A-Control_B-3_P-NA;T;B;P;;1150;NULL;;NA
;;NA;NULL;Data Microfauna;2008-02-26-D_IE_CreBeo_T-A-Biocake_B-3_P-NA_Data Microfauna;;A-Biocake;3;NA;;NA;NA;IE;NA;NA;crebeo;D;NA;Wicklow;2008-02-26-D_IE_CreBeo_T-A-Biocake_B-3_P-NA;T;B;P;;408;NULL;;NA
;;NA;NULL;Data Microfauna;2008-02-26-D_IE_CreBeo_T-A-Biofert_B-3_P-NA_Data Microfauna;;A-Biofert;3;NA;;NA;NA;IE;NA;NA;crebeo;D;NA;Wicklow;2008-02-26-D_IE_CreBeo_T-A-Biofert_B-3_P-NA;T;B;P;;651;NULL;;NA
;;NA;NULL;Data Microfauna;2008-02-26-D_IE_CreBeo_T-A-Biofert_B-4_P-NA_Data Microfauna;;A-Biofert;4;NA;;NA;NA;IE;NA;NA;crebeo;D;NA;Wicklow;2008-02-26-D_IE_CreBeo_T-A-Biofert_B-4_P-NA;T;B;P;;1305;NULL;;NA
;;NA;NULL;Data Microfauna;2008-02-26-D_IE_CreBeo_T-A-Control_B-4_P-NA_Data Microfauna;;A-Control;4;NA;;NA;NA;IE;NA;NA;crebeo;D;NA;Wicklow;2008-02-26-D_IE_CreBeo_T-A-Control_B-4_P-NA;T;B;P;;810;NULL;;NA
;;NA;NULL;Data Microfauna;2008-02-26-D_IE_CreBeo_T-A-Biocake_B-4_P-NA_Data Microfauna;;A-Biocake;4;NA;;NA;NA;IE;NA;NA;crebeo;D;NA;Wicklow;2008-02-26-D_IE_CreBeo_T-A-Biocake_B-4_P-NA;T;B;P;;1383;NULL;;NA
;;NA;NULL;Data Microfauna;2008-02-26-D_IE_CreBeo_T-A-Biocake_B-5_P-NA_Data Microfauna;;A-Biocake;5;NA;;NA;NA;IE;NA;NA;crebeo;D;NA;Wicklow;2008-02-26-D_IE_CreBeo_T-A-Biocake_B-5_P-NA;T;B;P;;3360;NULL;;NA
;;NA;NULL;Data Microfauna;2008-02-26-D_IE_CreBeo_T-A-Biofert_B-5_P-NA_Data Microfauna;;A-Biofert;5;NA;;NA;NA;IE;NA;NA;crebeo;D;NA;Wicklow;2008-02-26-D_IE_CreBeo_T-A-Biofert_B-5_P-NA;T;B;P;;1074;NULL;;NA
;;NA;NULL;Data Microfauna;2008-02-26-D_IE_CreBeo_T-A-Control_B-5_P-NA_Data Microfauna;;A-Control;5;NA;;NA;NA;IE;NA;NA;crebeo;D;NA;Wicklow;2008-02-26-D_IE_CreBeo_T-A-Control_B-5_P-NA;T;B;P;;1771;NULL;;NA
;;NA;NULL;Data Microfauna;2008-02-26-D_IE_CreBeo_T-P-Control_B-1_P-NA_Data Microfauna;;P-Control;1;NA;;NA;NA;IE;NA;NA;crebeo;D;NA;Wicklow;2008-02-26-D_IE_CreBeo_T-P-Control_B-1_P-NA;T;B;P;;4508;NULL;;NA
;;NA;NULL;Data Microfauna;2008-02-26-D_IE_CreBeo_T-P-Biocake_B-1_P-NA_Data Microfauna;;P-Biocake;1;NA;;NA;NA;IE;NA;NA;crebeo;D;NA;Wicklow;2008-02-26-D_IE_CreBeo_T-P-Biocake_B-1_P-NA;T;B;P;;5267;NULL;;NA
;;NA;NULL;Data Microfauna;2008-02-26-D_IE_CreBeo_T-P-Biofert_B-1_P-NA_Data Microfauna;;P-Biofert;1;NA;;NA;NA;IE;NA;NA;crebeo;D;NA;Wicklow;2008-02-26-D_IE_CreBeo_T-P-Biofert_B-1_P-NA;T;B;P;;2956;NULL;;NA
;;NA;NULL;Data Microfauna;2008-02-26-D_IE_CreBeo_T-P-Control_B-2_P-NA_Data Microfauna;;P-Control;2;NA;;NA;NA;IE;NA;NA;crebeo;D;NA;Wicklow;2008-02-26-D_IE_CreBeo_T-P-Control_B-2_P-NA;T;B;P;;3920;NULL;;NA
;;NA;NULL;Data Microfauna;2008-02-26-D_IE_CreBeo_T-P-Biofert_B-2_P-NA_Data Microfauna;;P-Biofert;2;NA;;NA;NA;IE;NA;NA;crebeo;D;NA;Wicklow;2008-02-26-D_IE_CreBeo_T-P-Biofert_B-2_P-NA;T;B;P;;14461;NULL;;NA
;;NA;NULL;Data Microfauna;2008-02-26-D_IE_CreBeo_T-P-Biocake_B-2_P-NA_Data Microfauna;;P-Biocake;2;NA;;NA;NA;IE;NA;NA;crebeo;D;NA;Wicklow;2008-02-26-D_IE_CreBeo_T-P-Biocake_B-2_P-NA;T;B;P;;1883;NULL;;NA
;;NA;NULL;Data Microfauna;2008-02-26-D_IE_CreBeo_T-P-Biocake_B-3_P-NA_Data Microfauna;;P-Biocake;3;NA;;NA;NA;IE;NA;NA;crebeo;D;NA;Wicklow;2008-02-26-D_IE_CreBeo_T-P-Biocake_B-3_P-NA;T;B;P;;5067;NULL;;NA
;;NA;NULL;Data Microfauna;2008-02-26-D_IE_CreBeo_T-P-Control_B-3_P-NA_Data Microfauna;;P-Control;3;NA;;NA;NA;IE;NA;NA;crebeo;D;NA;Wicklow;2008-02-26-D_IE_CreBeo_T-P-Control_B-3_P-NA;T;B;P;;3629;NULL;;NA
;;NA;NULL;Data Microfauna;2008-02-26-D_IE_CreBeo_T-P-Biofert_B-3_P-NA_Data Microfauna;;P-Biofert;3;NA;;NA;NA;IE;NA;NA;crebeo;D;NA;Wicklow;2008-02-26-D_IE_CreBeo_T-P-Biofert_B-3_P-NA;T;B;P;;6366;NULL;;NA
;;NA;NULL;Data Microfauna;2008-02-26-D_IE_CreBeo_T-P-Biocake_B-4_P-NA_Data Microfauna;;P-Biocake;4;NA;;NA;NA;IE;NA;NA;crebeo;D;NA;Wicklow;2008-02-26-D_IE_CreBeo_T-P-Biocake_B-4_P-NA;T;B;P;;3590;NULL;;NA
;;NA;NULL;Data Microfauna;2008-02-26-D_IE_CreBeo_T-P-Biofert_B-4_P-NA_Data Microfauna;;P-Biofert;4;NA;;NA;NA;IE;NA;NA;crebeo;D;NA;Wicklow;2008-02-26-D_IE_CreBeo_T-P-Biofert_B-4_P-NA;T;B;P;;4612;NULL;;NA
;;NA;NULL;Data Microfauna;2008-02-26-D_IE_CreBeo_T-P-Control_B-4_P-NA_Data Microfauna;;P-Control;4;NA;;NA;NA;IE;NA;NA;crebeo;D;NA;Wicklow;2008-02-26-D_IE_CreBeo_T-P-Control_B-4_P-NA;T;B;P;;4507;NULL;;NA
;;NA;NULL;Data Microfauna;2008-02-26-D_IE_CreBeo_T-P-Biofert_B-5_P-NA_Data Microfauna;;P-Biofert;5;NA;;NA;NA;IE;NA;NA;crebeo;D;NA;Wicklow;2008-02-26-D_IE_CreBeo_T-P-Biofert_B-5_P-NA;T;B;P;;9478;NULL;;NA
;;NA;NULL;Data Microfauna;2008-02-26-D_IE_CreBeo_T-P-Control_B-5_P-NA_Data Microfauna;;P-Control;5;NA;;NA;NA;IE;NA;NA;crebeo;D;NA;Wicklow;2008-02-26-D_IE_CreBeo_T-P-Control_B-5_P-NA;T;B;P;;8607;NULL;;NA
;;NA;NULL;Data Microfauna;2008-02-26-D_IE_CreBeo_T-P-Biocake_B-5_P-NA_Data Microfauna;;P-Biocake;5;NA;;NA;NA;IE;NA;NA;crebeo;D;NA;Wicklow;2008-02-26-D_IE_CreBeo_T-P-Biocake_B-5_P-NA;T;B;P;;5488;NULL;;NA
;;1.837837838;NULL;Data Microfauna;2009-02-27-D_IE_CreBeo_T-A-Biocake_B-1_P-NA_Data Microfauna;;A-Biocake;1;NA;;0;10;IE;19;653;crebeo;D;604;Wicklow;2009-02-27-D_IE_CreBeo_T-A-Biocake_B-1_P-NA;T;B;P;;1374;NULL;;15
;;2.174603175;NULL;Data Microfauna;2009-02-27-D_IE_CreBeo_T-A-Control_B-1_P-NA_Data Microfauna;;A-Control;1;NA;;0;32;IE;36;329;crebeo;D;217;Wicklow;2009-02-27-D_IE_CreBeo_T-A-Control_B-1_P-NA;T;B;P;;614;NULL;;14
;;2.339285714;NULL;Data Microfauna;2009-02-27-D_IE_CreBeo_T-A-Biofert_B-1_P-NA_Data Microfauna;;A-Biofert;1;NA;;0;102;IE;19;621;crebeo;D;399;Wicklow;2009-02-27-D_IE_CreBeo_T-A-Biofert_B-1_P-NA;T;B;P;;1140;NULL;;12
;;2.220338983;NULL;Data Microfauna;2009-02-27-D_IE_CreBeo_T-A-Biocake_B-2_P-NA_Data Microfauna;;A-Biocake;2;NA;;12;35;IE;18;448;crebeo;D;277;Wicklow;2009-02-27-D_IE_CreBeo_T-A-Biocake_B-2_P-NA;T;B;P;;790;NULL;;19
;;2.476923077;NULL;Data Microfauna;2009-02-27-D_IE_CreBeo_T-A-Biofert_B-2_P-NA_Data Microfauna;;A-Biofert;2;NA;;0;41;IE;17;465;crebeo;D;262;Wicklow;2009-02-27-D_IE_CreBeo_T-A-Biofert_B-2_P-NA;T;B;P;;785;NULL;;16
;;2.745098039;NULL;Data Microfauna;2009-02-27-D_IE_CreBeo_T-A-Control_B-2_P-NA_Data Microfauna;;A-Control;2;NA;;8;51;IE;12;314;crebeo;D;122;Wicklow;2009-02-27-D_IE_CreBeo_T-A-Control_B-2_P-NA;T;B;P;;506;NULL;;18
;;2.764705882;NULL;Data Microfauna;2009-02-27-D_IE_CreBeo_T-A-Control_B-3_P-NA_Data Microfauna;;A-Control;3;NA;;9;34;IE;14;211;crebeo;D;111;Wicklow;2009-02-27-D_IE_CreBeo_T-A-Control_B-3_P-NA;T;B;P;;379;NULL;;16
;;2.361111111;NULL;Data Microfauna;2009-02-27-D_IE_CreBeo_T-A-Biocake_B-3_P-NA_Data Microfauna;;A-Biocake;3;NA;;8;37;IE;17;303;crebeo;D;220;Wicklow;2009-02-27-D_IE_CreBeo_T-A-Biocake_B-3_P-NA;T;B;P;;586;NULL;;17
;;2.322580645;NULL;Data Microfauna;2009-02-27-D_IE_CreBeo_T-A-Biofert_B-3_P-NA_Data Microfauna;;A-Biofert;3;NA;;0;68;IE;15;482;crebeo;D;376;Wicklow;2009-02-27-D_IE_CreBeo_T-A-Biofert_B-3_P-NA;T;B;P;;941;NULL;;18
;;2.218181818;NULL;Data Microfauna;2009-02-27-D_IE_CreBeo_T-A-Biofert_B-4_P-NA_Data Microfauna;;A-Biofert;4;NA;;12;43;IE;12;502;crebeo;D;273;Wicklow;2009-02-27-D_IE_CreBeo_T-A-Biofert_B-4_P-NA;T;B;P;;844;NULL;;15
;;2.02;NULL;Data Microfauna;2009-02-27-D_IE_CreBeo_T-A-Control_B-4_P-NA_Data Microfauna;;A-Control;4;NA;;23;23;IE;0;960;crebeo;D;520;Wicklow;2009-02-27-D_IE_CreBeo_T-A-Control_B-4_P-NA;T;B;P;;1525;NULL;;15
;;2.510638298;NULL;Data Microfauna;2009-02-27-D_IE_CreBeo_T-A-Biocake_B-4_P-NA_Data Microfauna;;A-Biocake;4;NA;;19;85;IE;28;771;crebeo;D;301;Wicklow;2009-02-27-D_IE_CreBeo_T-A-Biocake_B-4_P-NA;T;B;P;;1203;NULL;;14
;;2.827586207;NULL;Data Microfauna;2009-02-27-D_IE_CreBeo_T-A-Biocake_B-5_P-NA_Data Microfauna;;A-Biocake;5;NA;;12;55;IE;19;292;crebeo;D;129;Wicklow;2009-02-27-D_IE_CreBeo_T-A-Biocake_B-5_P-NA;T;B;P;;506;NULL;;18
;;2.364864865;NULL;Data Microfauna;2009-02-27-D_IE_CreBeo_T-A-Biofert_B-5_P-NA_Data Microfauna;;A-Biofert;5;NA;;6;34;IE;40;396;crebeo;D;310;Wicklow;2009-02-27-D_IE_CreBeo_T-A-Biofert_B-5_P-NA;T;B;P;;787;NULL;;20
;;2.631578947;NULL;Data Microfauna;2009-02-27-D_IE_CreBeo_T-A-Control_B-5_P-NA_Data Microfauna;;A-Control;5;NA;;11;66;IE;6;365;crebeo;D;227;Wicklow;2009-02-27-D_IE_CreBeo_T-A-Control_B-5_P-NA;T;B;P;;674;NULL;;16
;;2.297029703;NULL;Data Microfauna;2009-02-27-D_IE_CreBeo_T-P-Control_B-1_P-NA_Data Microfauna;;P-Control;1;NA;;70;182;IE;14;462;crebeo;D;1119;Wicklow;2009-02-27-D_IE_CreBeo_T-P-Control_B-1_P-NA;T;B;P;;1847;NULL;;22
;;2.343283582;NULL;Data Microfauna;2009-02-27-D_IE_CreBeo_T-P-Biocake_B-1_P-NA_Data Microfauna;;P-Biocake;1;NA;;85;85;IE;21;1409;crebeo;D;1046;Wicklow;2009-02-27-D_IE_CreBeo_T-P-Biocake_B-1_P-NA;T;B;P;;2647;NULL;;21
;;2.686567164;NULL;Data Microfauna;2009-02-27-D_IE_CreBeo_T-P-Biofert_B-1_P-NA_Data Microfauna;;P-Biofert;1;NA;;116;256;IE;140;1677;crebeo;D;862;Wicklow;2009-02-27-D_IE_CreBeo_T-P-Biofert_B-1_P-NA;T;B;P;;3052;NULL;;21
;;2.453125;NULL;Data Microfauna;2009-02-27-D_IE_CreBeo_T-P-Control_B-2_P-NA_Data Microfauna;;P-Control;2;NA;;71;249;IE;36;2131;crebeo;D;1740;Wicklow;2009-02-27-D_IE_CreBeo_T-P-Control_B-2_P-NA;T;B;P;;4226;NULL;;21
;;2.090909091;NULL;Data Microfauna;2009-02-27-D_IE_CreBeo_T-P-Biofert_B-2_P-NA_Data Microfauna;;P-Biofert;2;NA;;32;114;IE;0;877;crebeo;D;925;Wicklow;2009-02-27-D_IE_CreBeo_T-P-Biofert_B-2_P-NA;T;B;P;;1948;NULL;;19
;;2.369863014;NULL;Data Microfauna;2009-02-27-D_IE_CreBeo_T-P-Biocake_B-2_P-NA_Data Microfauna;;P-Biocake;2;NA;;54;143;IE;161;966;crebeo;D;895;Wicklow;2009-02-27-D_IE_CreBeo_T-P-Biocake_B-2_P-NA;T;B;P;;2218;NULL;;22
;;2.546875;NULL;Data Microfauna;2009-02-27-D_IE_CreBeo_T-P-Biocake_B-3_P-NA_Data Microfauna;;P-Biocake;3;NA;;14;74;IE;34;412;crebeo;D;291;Wicklow;2009-02-27-D_IE_CreBeo_T-P-Biocake_B-3_P-NA;T;B;P;;825;NULL;;24
;;2.309859155;NULL;Data Microfauna;2009-02-27-D_IE_CreBeo_T-P-Control_B-3_P-NA_Data Microfauna;;P-Control;3;NA;;61;138;IE;31;583;crebeo;D;844;Wicklow;2009-02-27-D_IE_CreBeo_T-P-Control_B-3_P-NA;T;B;P;;1657;NULL;;21
;;2.214285714;NULL;Data Microfauna;2009-02-27-D_IE_CreBeo_T-P-Biofert_B-3_P-NA_Data Microfauna;;P-Biofert;3;NA;;53;160;IE;53;1941;crebeo;D;1223;Wicklow;2009-02-27-D_IE_CreBeo_T-P-Biofert_B-3_P-NA;T;B;P;;3429;NULL;;19
;;2.535714286;NULL;Data Microfauna;2009-02-27-D_IE_CreBeo_T-P-Biocake_B-4_P-NA_Data Microfauna;;P-Biocake;4;NA;;52;140;IE;52;1223;crebeo;D;629;Wicklow;2009-02-27-D_IE_CreBeo_T-P-Biocake_B-4_P-NA;T;B;P;;2097;NULL;;22
;;2.464285714;NULL;Data Microfauna;2009-02-27-D_IE_CreBeo_T-P-Biofert_B-4_P-NA_Data Microfauna;;P-Biofert;4;NA;;72;168;IE;24;1755;crebeo;D;986;Wicklow;2009-02-27-D_IE_CreBeo_T-P-Biofert_B-4_P-NA;T;B;P;;3005;NULL;;22
;;2.303030303;NULL;Data Microfauna;2009-02-27-D_IE_CreBeo_T-P-Control_B-4_P-NA_Data Microfauna;;P-Control;4;NA;;36;142;IE;18;1084;crebeo;D;924;Wicklow;2009-02-27-D_IE_CreBeo_T-P-Control_B-4_P-NA;T;B;P;;2203;NULL;;21
;;2.365079365;NULL;Data Microfauna;2009-02-27-D_IE_CreBeo_T-P-Biofert_B-5_P-NA_Data Microfauna;;P-Biofert;5;NA;;0;96;IE;12;740;crebeo;D;609;Wicklow;2009-02-27-D_IE_CreBeo_T-P-Biofert_B-5_P-NA;T;B;P;;1456;NULL;;20
;;2.683333333;NULL;Data Microfauna;2009-02-27-D_IE_CreBeo_T-P-Control_B-5_P-NA_Data Microfauna;;P-Control;5;NA;;98;262;IE;98;869;crebeo;D;525;Wicklow;2009-02-27-D_IE_CreBeo_T-P-Control_B-5_P-NA;T;B;P;;1854;NULL;;19
;;2.5;NULL;Data Microfauna;2009-02-27-D_IE_CreBeo_T-P-Biocake_B-5_P-NA_Data Microfauna;;P-Biocake;5;NA;;19;67;IE;38;697;crebeo;D;315;Wicklow;2009-02-27-D_IE_CreBeo_T-P-Biocake_B-5_P-NA;T;B;P;;1136;NULL;;17
10.56;85.96;1.48;NULL;Data Microfauna;2017-08-05-D_SE_R8-71B_T-A_B-1_P-1_Data Microfauna;8;A;1;1;19.25;144;65;SE;1431;1190;r871b;D;5242;Offer;2017-08-05-D_SE_R8-71B_T-A_B-1_P-1;T;B;P;;8080;NULL;;33
48.38;50.61;1.92;NULL;Data Microfauna;2017-08-05-D_SE_R8-71B_T-A_B-1_P-2_Data Microfauna;0;A;1;2;8;14;7;SE;335;836;r871b;D;676;Offer;2017-08-05-D_SE_R8-71B_T-A_B-1_P-2;T;B;P;;1868;NULL;;26
25.47;73.98;1.73;NULL;Data Microfauna;2017-08-05-D_SE_R8-71B_T-A_B-1_P-3_Data Microfauna;0;A;1;3;16.62;108;5;SE;1006;1783;r871b;D;1890;Offer;2017-08-05-D_SE_R8-71B_T-A_B-1_P-3;T;B;P;;4792;NULL;;27
60.45;55.43;1.95;NULL;Data Microfauna;2017-08-05-D_SE_R8-71B_T-A_B-1_P-4_Data Microfauna;0;A;1;4;12;30;0;SE;454;828;r871b;D;399;Offer;2017-08-05-D_SE_R8-71B_T-A_B-1_P-4;T;B;P;;1710;NULL;;24
50.22;46.95;1.96;NULL;Data Microfauna;2017-08-05-D_SE_R8-71B_T-B_B-1_P-1_Data Microfauna;0;B;1;1;12.35;40;3;SE;333;1037;r871b;D;1273;Offer;2017-08-05-D_SE_R8-71B_T-B_B-1_P-1;T;B;P;;2686;NULL;;25
74.43;46.62;1.99;NULL;Data Microfauna;2017-08-05-D_SE_R8-71B_T-B_B-1_P-2_Data Microfauna;0;B;1;2;9.38;33;12;SE;712;572;r871b;D;600;Offer;2017-08-05-D_SE_R8-71B_T-B_B-1_P-2;T;B;P;;1930;NULL;;25
65.29;48.14;1.96;NULL;Data Microfauna;2017-08-05-D_SE_R8-71B_T-B_B-1_P-3_Data Microfauna;0;B;1;3;6.29;17;0;SE;529;410;r871b;D;536;Offer;2017-08-05-D_SE_R8-71B_T-B_B-1_P-3;T;B;P;;1492;NULL;;24
23.12;61.55;1.82;NULL;Data Microfauna;2017-08-05-D_SE_R8-71B_T-B_B-1_P-4_Data Microfauna;0;B;1;4;10.8;36;0;SE;370;393;r871b;D;1334;Offer;2017-08-05-D_SE_R8-71B_T-B_B-1_P-4;T;B;P;;2132;NULL;;22
27.07;59.89;1.82;NULL;Data Microfauna;2017-08-04-D_SE_R8-71B_T-D_B-1_P-1_Data Microfauna;0;D;1;1;8.22;19;3;SE;252;261;r871b;D;867;Offer;2017-08-04-D_SE_R8-71B_T-D_B-1_P-1;T;B;P;;1401;NULL;;25
45.29;50.79;1.96;NULL;Data Microfauna;2017-08-04-D_SE_R8-71B_T-D_B-1_P-2_Data Microfauna;0;D;1;2;15.48;50;0;SE;348;295;r871b;D;778;Offer;2017-08-04-D_SE_R8-71B_T-D_B-1_P-2;T;B;P;;1471;NULL;;24
64.9;46.82;1.95;NULL;Data Microfauna;2017-08-04-D_SE_R8-71B_T-D_B-1_P-3_Data Microfauna;0;D;1;3;3.95;9;0;SE;450;387;r871b;D;615;Offer;2017-08-04-D_SE_R8-71B_T-D_B-1_P-3;T;B;P;;1461;NULL;;24
48.22;52.29;1.9;NULL;Data Microfauna;2017-08-04-D_SE_R8-71B_T-D_B-1_P-4_Data Microfauna;0;D;1;4;5.66;10;4;SE;372;213;r871b;D;580;Offer;2017-08-04-D_SE_R8-71B_T-D_B-1_P-4;T;B;P;;1179;NULL;;24
30.2;66.46;2.07;NULL;Data Microfauna;2017-08-05-D_SE_R8-71B_T-A_B-2_P-1_Data Microfauna;0;A;2;1;48.27;191;13;SE;319;1038;r871b;D;902;Offer;2017-08-05-D_SE_R8-71B_T-A_B-2_P-1;T;B;P;;2463;NULL;;32
31.96;58.73;2.08;NULL;Data Microfauna;2017-08-05-D_SE_R8-71B_T-A_B-2_P-2_Data Microfauna;0;A;2;2;41.76;260;0;SE;573;1096;r871b;D;1956;Offer;2017-08-05-D_SE_R8-71B_T-A_B-2_P-2;T;B;P;;3885;NULL;;29
23.36;58.73;1.94;NULL;Data Microfauna;2017-08-05-D_SE_R8-71B_T-A_B-2_P-3_Data Microfauna;0;A;2;3;28.03;147;16;SE;521;1023;r871b;D;2105;Offer;2017-08-05-D_SE_R8-71B_T-A_B-2_P-3;T;B;P;;3812;NULL;;34
27.13;72.45;2;NULL;Data Microfauna;2017-08-05-D_SE_R8-71B_T-A_B-2_P-4_Data Microfauna;0;A;2;4;49.84;241;30;SE;696;793;r871b;D;1079;Offer;2017-08-05-D_SE_R8-71B_T-A_B-2_P-4;T;B;P;;2839;NULL;;31
12.05;79.28;1.7;NULL;Data Microfauna;2017-08-04-D_SE_R8-71B_T-B_B-2_P-1_Data Microfauna;0;B;2;1;35.01;58;22;SE;199;437;r871b;D;1054;Offer;2017-08-04-D_SE_R8-71B_T-B_B-2_P-1;T;B;P;;1770;NULL;;27
27.05;63.7;1.97;NULL;Data Microfauna;2017-08-04-D_SE_R8-71B_T-B_B-2_P-2_Data Microfauna;0;B;2;2;35.79;129;12;SE;377;710;r871b;D;979;Offer;2017-08-04-D_SE_R8-71B_T-B_B-2_P-2;T;B;P;;2206;NULL;;28
49.45;49.53;2.08;NULL;Data Microfauna;2017-08-04-D_SE_R8-71B_T-B_B-2_P-3_Data Microfauna;0;B;2;3;31.2;219;14;SE;378;1272;r871b;D;1545;Offer;2017-08-04-D_SE_R8-71B_T-B_B-2_P-3;T;B;P;;3428;NULL;;28
46.78;50.79;2.06;NULL;Data Microfauna;2017-08-04-D_SE_R8-71B_T-B_B-2_P-4_Data Microfauna;0;B;2;4;29.87;136;16;SE;427;981;r871b;D;1202;Offer;2017-08-04-D_SE_R8-71B_T-B_B-2_P-4;T;B;P;;2761;NULL;;30
10.63;84.73;1.7;NULL;Data Microfauna;2017-08-05-D_SE_R8-71B_T-D_B-2_P-1_Data Microfauna;0;D;2;1;51;183;20;SE;422;399;r871b;D;1613;Offer;2017-08-05-D_SE_R8-71B_T-D_B-2_P-1;T;B;P;;2637;NULL;;32
27.22;70.31;1.79;NULL;Data Microfauna;2017-08-05-D_SE_R8-71B_T-D_B-2_P-2_Data Microfauna;0;D;2;2;18.9;33;4;SE;302;566;r871b;D;703;Offer;2017-08-05-D_SE_R8-71B_T-D_B-2_P-2;T;B;P;;1608;NULL;;26
9.14;87.19;1.5;NULL;Data Microfauna;2017-08-05-D_SE_R8-71B_T-D_B-2_P-3_Data Microfauna;0;D;2;3;30.27;62;6;SE;428;408;r871b;D;1787;Offer;2017-08-05-D_SE_R8-71B_T-D_B-2_P-3;T;B;P;;2691;NULL;;28
13.51;75.37;1.65;NULL;Data Microfauna;2017-08-05-D_SE_R8-71B_T-D_B-2_P-4_Data Microfauna;0;D;2;4;12.51;19;8;SE;248;312;r871b;D;1166;Offer;2017-08-05-D_SE_R8-71B_T-D_B-2_P-4;T;B;P;;1753;NULL;;27
71.6;52.18;1.99;NULL;Data Microfauna;2018-07-20-D_SE_R8-71B_T-A_B-1_P-1_Data Microfauna;0;A;1;1;12.24;11;0;SE;187;232;r871b;D;115;Offer;2018-07-20-D_SE_R8-71B_T-A_B-1_P-1;T;B;P;;545;NULL;;22
17.91;80.83;1.56;NULL;Data Microfauna;2018-07-20-D_SE_R8-71B_T-A_B-1_P-2_Data Microfauna;0;A;1;2;8.58;7;0;SE;258;120;r871b;D;479;Offer;2018-07-20-D_SE_R8-71B_T-A_B-1_P-2;T;B;P;;864;NULL;;19
33.08;67.46;1.92;NULL;Data Microfauna;2018-07-20-D_SE_R8-71B_T-A_B-1_P-3_Data Microfauna;0;A;1;3;31.83;18;0;SE;103;156;r871b;D;132;Offer;2018-07-20-D_SE_R8-71B_T-A_B-1_P-3;T;B;P;;410;NULL;;23
40.83;60.38;1.87;NULL;Data Microfauna;2018-07-20-D_SE_R8-71B_T-A_B-1_P-4_Data Microfauna;0;A;1;4;12.04;5;1;SE;96;57;r871b;D;121;Offer;2018-07-20-D_SE_R8-71B_T-A_B-1_P-4;T;B;P;;280;NULL;;24
55.45;56.97;1.92;NULL;Data Microfauna;2018-07-20-D_SE_R8-71B_T-B_B-1_P-1_Data Microfauna;0;B;1;1;8.98;4;0;SE;103;45;r871b;D;69;Offer;2018-07-20-D_SE_R8-71B_T-B_B-1_P-1;T;B;P;;221;NULL;;18
92.15;46.71;2;NULL;Data Microfauna;2018-07-20-D_SE_R8-71B_T-B_B-1_P-2_Data Microfauna;0;B;1;2;3.32;1;0;SE;107;47;r871b;D;32;Offer;2018-07-20-D_SE_R8-71B_T-B_B-1_P-2;T;B;P;;187;NULL;;20
55.18;54.86;2;NULL;Data Microfauna;2018-07-20-D_SE_R8-71B_T-B_B-1_P-3_Data Microfauna;0;B;1;3;21.19;11;0;SE;100;94;r871b;D;104;Offer;2018-07-20-D_SE_R8-71B_T-B_B-1_P-3;T;B;P;;310;NULL;;19
50.77;61.67;1.83;NULL;Data Microfauna;2018-07-20-D_SE_R8-71B_T-B_B-1_P-4_Data Microfauna;0;B;1;4;0;0;0;SE;112;96;r871b;D;72;Offer;2018-07-20-D_SE_R8-71B_T-B_B-1_P-4;T;B;P;;280;NULL;;16
32.3;59.7;1.8;NULL;Data Microfauna;2018-07-20-D_SE_R8-71B_T-D_B-1_P-1_Data Microfauna;0;D;1;1;0;0;0;SE;69;28;r871b;D;151;Offer;2018-07-20-D_SE_R8-71B_T-D_B-1_P-1;T;B;P;;248;NULL;;14
46.56;52.74;1.9;NULL;Data Microfauna;2018-07-20-D_SE_R8-71B_T-D_B-1_P-2_Data Microfauna;0;D;1;2;6.45;5;0;SE;142;63;r871b;D;221;Offer;2018-07-20-D_SE_R8-71B_T-D_B-1_P-2;T;B;P;;430;NULL;;18
73.67;48.87;1.94;NULL;Data Microfauna;2018-07-20-D_SE_R8-71B_T-D_B-1_P-3_Data Microfauna;0;D;1;3;0;0;0;SE;91;33;r871b;D;57;Offer;2018-07-20-D_SE_R8-71B_T-D_B-1_P-3;T;B;P;;181;NULL;;11
