id_sampling_point;date_sample_collection;precision_date;country_code;main_prog_name;additional_name;level_1_scale_obs;id_level_1;level_2_scale_obs;id_level_2;level_3_scale_obs;id_level_3;id_sample;data_type;type_of_sample;fungi_soil_subsample_mass;fungi_sampl_method;fungi_sampling_methodo_iso;fungi_methodology_class;fungi_molecular_marker;fungi_sequencing_type;fungi_sequencing_platform;fungi_sequencing_length;fungi_taxon_annotation_plat_db;fungi_taxon_annotation_database_or_pipeline;fungi_picking_scope;fungi_amf_morphological_analysis;fungi_amf_morphological_analysis_method
2018-01-01_Y_PL_LUCAS_F_203_NA_NA_NA_NA;date:2018-01-01T00:00:00:yyyy-MM-dd;Y;PL;lucas;;F;203;NA;NA;NA;NA;;;composite;;soil_core;10.1038/s41467-023-37937-4;sequencing;ITS1;target;pacbio;full_length;unite;UNITE v9;qiime2_vsearch;OTU;No
2018-01-01_Y_PL_LUCAS_F_224_NA_NA_NA_NA;date:2018-01-01T00:00:00:yyyy-MM-dd;Y;PL;lucas;;F;224;NA;NA;NA;NA;;;composite;;soil_core;10.1038/s41467-023-37937-4;sequencing;ITS1;target;pacbio;full_length;unite;UNITE v9;qiime2_vsearch;OTU;No
2018-01-01_Y_PL_LUCAS_F_265_NA_NA_NA_NA;date:2018-01-01T00:00:00:yyyy-MM-dd;Y;PL;lucas;;F;265;NA;NA;NA;NA;;;composite;;soil_core;10.1038/s41467-023-37937-4;sequencing;ITS1;target;pacbio;full_length;unite;UNITE v9;qiime2_vsearch;OTU;No
2018-01-01_Y_PL_LUCAS_F_299_NA_NA_NA_NA;date:2018-01-01T00:00:00:yyyy-MM-dd;Y;PL;lucas;;F;299;NA;NA;NA;NA;;;composite;;soil_core;10.1038/s41467-023-37937-4;sequencing;ITS1;target;pacbio;full_length;unite;UNITE v9;qiime2_vsearch;OTU;No
2018-01-01_Y_PL_LUCAS_F_380_NA_NA_NA_NA;date:2018-01-01T00:00:00:yyyy-MM-dd;Y;PL;lucas;;F;380;NA;NA;NA;NA;;;composite;;soil_core;10.1038/s41467-023-37937-4;sequencing;ITS1;target;pacbio;full_length;unite;UNITE v9;qiime2_vsearch;OTU;No
2018-01-01_Y_PL_LUCAS_F_459_NA_NA_NA_NA;date:2018-01-01T00:00:00:yyyy-MM-dd;Y;PL;lucas;;F;459;NA;NA;NA;NA;;;composite;;soil_core;10.1038/s41467-023-37937-4;sequencing;ITS1;target;pacbio;full_length;unite;UNITE v9;qiime2_vsearch;OTU;No
2018-01-01_Y_PL_LUCAS_F_539_NA_NA_NA_NA;date:2018-01-01T00:00:00:yyyy-MM-dd;Y;PL;lucas;;F;539;NA;NA;NA;NA;;;composite;;soil_core;10.1038/s41467-023-37937-4;sequencing;ITS1;target;pacbio;full_length;unite;UNITE v9;qiime2_vsearch;OTU;No
2018-01-01_Y_PL_LUCAS_F_576_NA_NA_NA_NA;date:2018-01-01T00:00:00:yyyy-MM-dd;Y;PL;lucas;;F;576;NA;NA;NA;NA;;;composite;;soil_core;10.1038/s41467-023-37937-4;sequencing;ITS1;target;pacbio;full_length;unite;UNITE v9;qiime2_vsearch;OTU;No
2018-01-01_Y_PL_LUCAS_F_585_NA_NA_NA_NA;date:2018-01-01T00:00:00:yyyy-MM-dd;Y;PL;lucas;;F;585;NA;NA;NA;NA;;;composite;;soil_core;10.1038/s41467-023-37937-4;sequencing;ITS1;target;pacbio;full_length;unite;UNITE v9;qiime2_vsearch;OTU;No
2018-01-01_Y_PL_LUCAS_F_589_NA_NA_NA_NA;date:2018-01-01T00:00:00:yyyy-MM-dd;Y;PL;lucas;;F;589;NA;NA;NA;NA;;;composite;;soil_core;10.1038/s41467-023-37937-4;sequencing;ITS1;target;pacbio;full_length;unite;UNITE v9;qiime2_vsearch;OTU;No
2018-01-01_Y_PL_LUCAS_F_616_NA_NA_NA_NA;date:2018-01-01T00:00:00:yyyy-MM-dd;Y;PL;lucas;;F;616;NA;NA;NA;NA;;;composite;;soil_core;10.1038/s41467-023-37937-4;sequencing;ITS1;target;pacbio;full_length;unite;UNITE v9;qiime2_vsearch;OTU;No
2018-01-01_Y_PL_LUCAS_F_618_NA_NA_NA_NA;date:2018-01-01T00:00:00:yyyy-MM-dd;Y;PL;lucas;;F;618;NA;NA;NA;NA;;;composite;;soil_core;10.1038/s41467-023-37937-4;sequencing;ITS1;target;pacbio;full_length;unite;UNITE v9;qiime2_vsearch;OTU;No
2018-01-01_Y_PL_LUCAS_F_619_NA_NA_NA_NA;date:2018-01-01T00:00:00:yyyy-MM-dd;Y;PL;lucas;;F;619;NA;NA;NA;NA;;;composite;;soil_core;10.1038/s41467-023-37937-4;sequencing;ITS1;target;pacbio;full_length;unite;UNITE v9;qiime2_vsearch;OTU;No
2018-01-01_Y_PL_LUCAS_F_629_NA_NA_NA_NA;date:2018-01-01T00:00:00:yyyy-MM-dd;Y;PL;lucas;;F;629;NA;NA;NA;NA;;;composite;;soil_core;10.1038/s41467-023-37937-4;sequencing;ITS1;target;pacbio;full_length;unite;UNITE v9;qiime2_vsearch;OTU;No
2018-01-01_Y_PL_LUCAS_F_646_NA_NA_NA_NA;date:2018-01-01T00:00:00:yyyy-MM-dd;Y;PL;lucas;;F;646;NA;NA;NA;NA;;;composite;;soil_core;10.1038/s41467-023-37937-4;sequencing;ITS1;target;pacbio;full_length;unite;UNITE v9;qiime2_vsearch;OTU;No
2018-01-01_Y_PL_LUCAS_F_694_NA_NA_NA_NA;date:2018-01-01T00:00:00:yyyy-MM-dd;Y;PL;lucas;;F;694;NA;NA;NA;NA;;;composite;;soil_core;10.1038/s41467-023-37937-4;sequencing;ITS1;target;pacbio;full_length;unite;UNITE v9;qiime2_vsearch;OTU;No
2018-01-01_Y_PL_LUCAS_F_697_NA_NA_NA_NA;date:2018-01-01T00:00:00:yyyy-MM-dd;Y;PL;lucas;;F;697;NA;NA;NA;NA;;;composite;;soil_core;10.1038/s41467-023-37937-4;sequencing;ITS1;target;pacbio;full_length;unite;UNITE v9;qiime2_vsearch;OTU;No
2018-01-01_Y_PL_LUCAS_F_719_NA_NA_NA_NA;date:2018-01-01T00:00:00:yyyy-MM-dd;Y;PL;lucas;;F;719;NA;NA;NA;NA;;;composite;;soil_core;10.1038/s41467-023-37937-4;sequencing;ITS1;target;pacbio;full_length;unite;UNITE v9;qiime2_vsearch;OTU;No
2018-01-01_Y_PL_LUCAS_F_730_NA_NA_NA_NA;date:2018-01-01T00:00:00:yyyy-MM-dd;Y;PL;lucas;;F;730;NA;NA;NA;NA;;;composite;;soil_core;10.1038/s41467-023-37937-4;sequencing;ITS1;target;pacbio;full_length;unite;UNITE v9;qiime2_vsearch;OTU;No
2018-01-01_Y_PL_LUCAS_F_736_NA_NA_NA_NA;date:2018-01-01T00:00:00:yyyy-MM-dd;Y;PL;lucas;;F;736;NA;NA;NA;NA;;;composite;;soil_core;10.1038/s41467-023-37937-4;sequencing;ITS1;target;pacbio;full_length;unite;UNITE v9;qiime2_vsearch;OTU;No
2018-01-01_Y_PL_LUCAS_F_740_NA_NA_NA_NA;date:2018-01-01T00:00:00:yyyy-MM-dd;Y;PL;lucas;;F;740;NA;NA;NA;NA;;;composite;;soil_core;10.1038/s41467-023-37937-4;sequencing;ITS1;target;pacbio;full_length;unite;UNITE v9;qiime2_vsearch;OTU;No
2018-01-01_Y_PL_LUCAS_F_781_NA_NA_NA_NA;date:2018-01-01T00:00:00:yyyy-MM-dd;Y;PL;lucas;;F;781;NA;NA;NA;NA;;;composite;;soil_core;10.1038/s41467-023-37937-4;sequencing;ITS1;target;pacbio;full_length;unite;UNITE v9;qiime2_vsearch;OTU;No
2018-01-01_Y_PL_LUCAS_F_843_NA_NA_NA_NA;date:2018-01-01T00:00:00:yyyy-MM-dd;Y;PL;lucas;;F;843;NA;NA;NA;NA;;;composite;;soil_core;10.1038/s41467-023-37937-4;sequencing;ITS1;target;pacbio;full_length;unite;UNITE v9;qiime2_vsearch;OTU;No
2018-01-01_Y_PL_LUCAS_F_853_NA_NA_NA_NA;date:2018-01-01T00:00:00:yyyy-MM-dd;Y;PL;lucas;;F;853;NA;NA;NA;NA;;;composite;;soil_core;10.1038/s41467-023-37937-4;sequencing;ITS1;target;pacbio;full_length;unite;UNITE v9;qiime2_vsearch;OTU;No
2018-01-01_Y_PL_LUCAS_F_858_NA_NA_NA_NA;date:2018-01-01T00:00:00:yyyy-MM-dd;Y;PL;lucas;;F;858;NA;NA;NA;NA;;;composite;;soil_core;10.1038/s41467-023-37937-4;sequencing;ITS1;target;pacbio;full_length;unite;UNITE v9;qiime2_vsearch;OTU;No
2018-01-01_Y_PL_LUCAS_F_881_NA_NA_NA_NA;date:2018-01-01T00:00:00:yyyy-MM-dd;Y;PL;lucas;;F;881;NA;NA;NA;NA;;;composite;;soil_core;10.1038/s41467-023-37937-4;sequencing;ITS1;target;pacbio;full_length;unite;UNITE v9;qiime2_vsearch;OTU;No
2018-01-01_Y_PL_LUCAS_F_882_NA_NA_NA_NA;date:2018-01-01T00:00:00:yyyy-MM-dd;Y;PL;lucas;;F;882;NA;NA;NA;NA;;;composite;;soil_core;10.1038/s41467-023-37937-4;sequencing;ITS1;target;pacbio;full_length;unite;UNITE v9;qiime2_vsearch;OTU;No
2018-01-01_Y_PL_LUCAS_F_885_NA_NA_NA_NA;date:2018-01-01T00:00:00:yyyy-MM-dd;Y;PL;lucas;;F;885;NA;NA;NA;NA;;;composite;;soil_core;10.1038/s41467-023-37937-4;sequencing;ITS1;target;pacbio;full_length;unite;UNITE v9;qiime2_vsearch;OTU;No
2018-01-01_Y_PT_LUCAS_F_324_NA_NA_NA_NA;date:2018-01-01T00:00:00:yyyy-MM-dd;Y;PT;lucas;;F;324;NA;NA;NA;NA;;;composite;;soil_core;10.1038/s41467-023-37937-4;sequencing;ITS1;target;pacbio;full_length;unite;UNITE v9;qiime2_vsearch;OTU;No
2018-01-01_Y_PT_LUCAS_F_367_NA_NA_NA_NA;date:2018-01-01T00:00:00:yyyy-MM-dd;Y;PT;lucas;;F;367;NA;NA;NA;NA;;;composite;;soil_core;10.1038/s41467-023-37937-4;sequencing;ITS1;target;pacbio;full_length;unite;UNITE v9;qiime2_vsearch;OTU;No
2018-01-01_Y_PT_LUCAS_F_510_NA_NA_NA_NA;date:2018-01-01T00:00:00:yyyy-MM-dd;Y;PT;lucas;;F;510;NA;NA;NA;NA;;;composite;;soil_core;10.1038/s41467-023-37937-4;sequencing;ITS1;target;pacbio;full_length;unite;UNITE v9;qiime2_vsearch;OTU;No
2018-01-01_Y_PT_LUCAS_F_529_NA_NA_NA_NA;date:2018-01-01T00:00:00:yyyy-MM-dd;Y;PT;lucas;;F;529;NA;NA;NA;NA;;;composite;;soil_core;10.1038/s41467-023-37937-4;sequencing;ITS1;target;pacbio;full_length;unite;UNITE v9;qiime2_vsearch;OTU;No
2018-01-01_Y_PT_LUCAS_F_577_NA_NA_NA_NA;date:2018-01-01T00:00:00:yyyy-MM-dd;Y;PT;lucas;;F;577;NA;NA;NA;NA;;;composite;;soil_core;10.1038/s41467-023-37937-4;sequencing;ITS1;target;pacbio;full_length;unite;UNITE v9;qiime2_vsearch;OTU;No
2018-01-01_Y_PT_LUCAS_F_622_NA_NA_NA_NA;date:2018-01-01T00:00:00:yyyy-MM-dd;Y;PT;lucas;;F;622;NA;NA;NA;NA;;;composite;;soil_core;10.1038/s41467-023-37937-4;sequencing;ITS1;target;pacbio;full_length;unite;UNITE v9;qiime2_vsearch;OTU;No
2018-01-01_Y_RO_LUCAS_F_791_NA_NA_NA_NA;date:2018-01-01T00:00:00:yyyy-MM-dd;Y;RO;lucas;;F;791;NA;NA;NA;NA;;;composite;;soil_core;10.1038/s41467-023-37937-4;sequencing;ITS1;target;pacbio;full_length;unite;UNITE v9;qiime2_vsearch;OTU;No
2018-01-01_Y_RO_LUCAS_F_800_NA_NA_NA_NA;date:2018-01-01T00:00:00:yyyy-MM-dd;Y;RO;lucas;;F;800;NA;NA;NA;NA;;;composite;;soil_core;10.1038/s41467-023-37937-4;sequencing;ITS1;target;pacbio;full_length;unite;UNITE v9;qiime2_vsearch;OTU;No
2018-01-01_Y_RO_LUCAS_F_801_NA_NA_NA_NA;date:2018-01-01T00:00:00:yyyy-MM-dd;Y;RO;lucas;;F;801;NA;NA;NA;NA;;;composite;;soil_core;10.1038/s41467-023-37937-4;sequencing;ITS1;target;pacbio;full_length;unite;UNITE v9;qiime2_vsearch;OTU;No
2018-01-01_Y_RO_LUCAS_F_802_NA_NA_NA_NA;date:2018-01-01T00:00:00:yyyy-MM-dd;Y;RO;lucas;;F;802;NA;NA;NA;NA;;;composite;;soil_core;10.1038/s41467-023-37937-4;sequencing;ITS1;target;pacbio;full_length;unite;UNITE v9;qiime2_vsearch;OTU;No
2018-01-01_Y_RO_LUCAS_F_805_NA_NA_NA_NA;date:2018-01-01T00:00:00:yyyy-MM-dd;Y;RO;lucas;;F;805;NA;NA;NA;NA;;;composite;;soil_core;10.1038/s41467-023-37937-4;sequencing;ITS1;target;pacbio;full_length;unite;UNITE v9;qiime2_vsearch;OTU;No
2018-01-01_Y_RO_LUCAS_F_806_NA_NA_NA_NA;date:2018-01-01T00:00:00:yyyy-MM-dd;Y;RO;lucas;;F;806;NA;NA;NA;NA;;;composite;;soil_core;10.1038/s41467-023-37937-4;sequencing;ITS1;target;pacbio;full_length;unite;UNITE v9;qiime2_vsearch;OTU;No
2018-01-01_Y_RO_LUCAS_F_812_NA_NA_NA_NA;date:2018-01-01T00:00:00:yyyy-MM-dd;Y;RO;lucas;;F;812;NA;NA;NA;NA;;;composite;;soil_core;10.1038/s41467-023-37937-4;sequencing;ITS1;target;pacbio;full_length;unite;UNITE v9;qiime2_vsearch;OTU;No
2018-01-01_Y_RO_LUCAS_F_816_NA_NA_NA_NA;date:2018-01-01T00:00:00:yyyy-MM-dd;Y;RO;lucas;;F;816;NA;NA;NA;NA;;;composite;;soil_core;10.1038/s41467-023-37937-4;sequencing;ITS1;target;pacbio;full_length;unite;UNITE v9;qiime2_vsearch;OTU;No
2018-01-01_Y_RO_LUCAS_F_822_NA_NA_NA_NA;date:2018-01-01T00:00:00:yyyy-MM-dd;Y;RO;lucas;;F;822;NA;NA;NA;NA;;;composite;;soil_core;10.1038/s41467-023-37937-4;sequencing;ITS1;target;pacbio;full_length;unite;UNITE v9;qiime2_vsearch;OTU;No
2018-01-01_Y_RO_LUCAS_F_824_NA_NA_NA_NA;date:2018-01-01T00:00:00:yyyy-MM-dd;Y;RO;lucas;;F;824;NA;NA;NA;NA;;;composite;;soil_core;10.1038/s41467-023-37937-4;sequencing;ITS1;target;pacbio;full_length;unite;UNITE v9;qiime2_vsearch;OTU;No
2018-01-01_Y_RO_LUCAS_F_825_NA_NA_NA_NA;date:2018-01-01T00:00:00:yyyy-MM-dd;Y;RO;lucas;;F;825;NA;NA;NA;NA;;;composite;;soil_core;10.1038/s41467-023-37937-4;sequencing;ITS1;target;pacbio;full_length;unite;UNITE v9;qiime2_vsearch;OTU;No
2018-01-01_Y_RO_LUCAS_F_826_NA_NA_NA_NA;date:2018-01-01T00:00:00:yyyy-MM-dd;Y;RO;lucas;;F;826;NA;NA;NA;NA;;;composite;;soil_core;10.1038/s41467-023-37937-4;sequencing;ITS1;target;pacbio;full_length;unite;UNITE v9;qiime2_vsearch;OTU;No
2018-01-01_Y_RO_LUCAS_F_830_NA_NA_NA_NA;date:2018-01-01T00:00:00:yyyy-MM-dd;Y;RO;lucas;;F;830;NA;NA;NA;NA;;;composite;;soil_core;10.1038/s41467-023-37937-4;sequencing;ITS1;target;pacbio;full_length;unite;UNITE v9;qiime2_vsearch;OTU;No
2018-01-01_Y_RO_LUCAS_F_831_NA_NA_NA_NA;date:2018-01-01T00:00:00:yyyy-MM-dd;Y;RO;lucas;;F;831;NA;NA;NA;NA;;;composite;;soil_core;10.1038/s41467-023-37937-4;sequencing;ITS1;target;pacbio;full_length;unite;UNITE v9;qiime2_vsearch;OTU;No
2018-01-01_Y_RO_LUCAS_F_875_NA_NA_NA_NA;date:2018-01-01T00:00:00:yyyy-MM-dd;Y;RO;lucas;;F;875;NA;NA;NA;NA;;;composite;;soil_core;10.1038/s41467-023-37937-4;sequencing;ITS1;target;pacbio;full_length;unite;UNITE v9;qiime2_vsearch;OTU;No
2018-01-01_Y_SE_LUCAS_F_166_NA_NA_NA_NA;date:2018-01-01T00:00:00:yyyy-MM-dd;Y;SE;lucas;;F;166;NA;NA;NA;NA;;;composite;;soil_core;10.1038/s41467-023-37937-4;sequencing;ITS1;target;pacbio;full_length;unite;UNITE v9;qiime2_vsearch;OTU;No
2018-01-01_Y_SE_LUCAS_F_268_NA_NA_NA_NA;date:2018-01-01T00:00:00:yyyy-MM-dd;Y;SE;lucas;;F;268;NA;NA;NA;NA;;;composite;;soil_core;10.1038/s41467-023-37937-4;sequencing;ITS1;target;pacbio;full_length;unite;UNITE v9;qiime2_vsearch;OTU;No
2018-01-01_Y_SE_LUCAS_F_486_NA_NA_NA_NA;date:2018-01-01T00:00:00:yyyy-MM-dd;Y;SE;lucas;;F;486;NA;NA;NA;NA;;;composite;;soil_core;10.1038/s41467-023-37937-4;sequencing;ITS1;target;pacbio;full_length;unite;UNITE v9;qiime2_vsearch;OTU;No
2018-01-01_Y_SE_LUCAS_F_632_NA_NA_NA_NA;date:2018-01-01T00:00:00:yyyy-MM-dd;Y;SE;lucas;;F;632;NA;NA;NA;NA;;;composite;;soil_core;10.1038/s41467-023-37937-4;sequencing;ITS1;target;pacbio;full_length;unite;UNITE v9;qiime2_vsearch;OTU;No
2018-01-01_Y_SE_LUCAS_F_874_NA_NA_NA_NA;date:2018-01-01T00:00:00:yyyy-MM-dd;Y;SE;lucas;;F;874;NA;NA;NA;NA;;;composite;;soil_core;10.1038/s41467-023-37937-4;sequencing;ITS1;target;pacbio;full_length;unite;UNITE v9;qiime2_vsearch;OTU;No
2018-01-01_Y_UK_LUCAS_F_227_NA_NA_NA_NA;date:2018-01-01T00:00:00:yyyy-MM-dd;Y;UK;lucas;;F;227;NA;NA;NA;NA;;;composite;;soil_core;10.1038/s41467-023-37937-4;sequencing;ITS1;target;pacbio;full_length;unite;UNITE v9;qiime2_vsearch;OTU;No
2018-01-01_Y_UK_LUCAS_F_704_NA_NA_NA_NA;date:2018-01-01T00:00:00:yyyy-MM-dd;Y;UK;lucas;;F;704;NA;NA;NA;NA;;;composite;;soil_core;10.1038/s41467-023-37937-4;sequencing;ITS1;target;pacbio;full_length;unite;UNITE v9;qiime2_vsearch;OTU;No
2018-01-01_Y_UK_LUCAS_F_718_NA_NA_NA_NA;date:2018-01-01T00:00:00:yyyy-MM-dd;Y;UK;lucas;;F;718;NA;NA;NA;NA;;;composite;;soil_core;10.1038/s41467-023-37937-4;sequencing;ITS1;target;pacbio;full_length;unite;UNITE v9;qiime2_vsearch;OTU;No
2018-01-01_Y_FR_LUCAS_F_350_NA_NA_NA_NA;date:2018-01-01T00:00:00:yyyy-MM-dd;Y;FR;lucas;;F;350;NA;NA;NA;NA;;;composite;;soil_core;10.1038/s41467-023-37937-4;sequencing;ITS1;target;pacbio;full_length;unite;UNITE v9;qiime2_vsearch;OTU;No
2018-01-01_Y_FR_LUCAS_F_358_NA_NA_NA_NA;date:2018-01-01T00:00:00:yyyy-MM-dd;Y;FR;lucas;;F;358;NA;NA;NA;NA;;;composite;;soil_core;10.1038/s41467-023-37937-4;sequencing;ITS1;target;pacbio;full_length;unite;UNITE v9;qiime2_vsearch;OTU;No
2018-01-01_Y_FR_LUCAS_F_399_NA_NA_NA_NA;date:2018-01-01T00:00:00:yyyy-MM-dd;Y;FR;lucas;;F;399;NA;NA;NA;NA;;;composite;;soil_core;10.1038/s41467-023-37937-4;sequencing;ITS1;target;pacbio;full_length;unite;UNITE v9;qiime2_vsearch;OTU;No
2018-01-01_Y_FR_LUCAS_F_404_NA_NA_NA_NA;date:2018-01-01T00:00:00:yyyy-MM-dd;Y;FR;lucas;;F;404;NA;NA;NA;NA;;;composite;;soil_core;10.1038/s41467-023-37937-4;sequencing;ITS1;target;pacbio;full_length;unite;UNITE v9;qiime2_vsearch;OTU;No
2018-01-01_Y_FR_LUCAS_F_406_NA_NA_NA_NA;date:2018-01-01T00:00:00:yyyy-MM-dd;Y;FR;lucas;;F;406;NA;NA;NA;NA;;;composite;;soil_core;10.1038/s41467-023-37937-4;sequencing;ITS1;target;pacbio;full_length;unite;UNITE v9;qiime2_vsearch;OTU;No
2018-01-01_Y_FR_LUCAS_F_410_NA_NA_NA_NA;date:2018-01-01T00:00:00:yyyy-MM-dd;Y;FR;lucas;;F;410;NA;NA;NA;NA;;;composite;;soil_core;10.1038/s41467-023-37937-4;sequencing;ITS1;target;pacbio;full_length;unite;UNITE v9;qiime2_vsearch;OTU;No
2018-01-01_Y_FR_LUCAS_F_418_NA_NA_NA_NA;date:2018-01-01T00:00:00:yyyy-MM-dd;Y;FR;lucas;;F;418;NA;NA;NA;NA;;;composite;;soil_core;10.1038/s41467-023-37937-4;sequencing;ITS1;target;pacbio;full_length;unite;UNITE v9;qiime2_vsearch;OTU;No
2018-01-01_Y_FR_LUCAS_F_427_NA_NA_NA_NA;date:2018-01-01T00:00:00:yyyy-MM-dd;Y;FR;lucas;;F;427;NA;NA;NA;NA;;;composite;;soil_core;10.1038/s41467-023-37937-4;sequencing;ITS1;target;pacbio;full_length;unite;UNITE v9;qiime2_vsearch;OTU;No
2018-01-01_Y_FR_LUCAS_F_447_NA_NA_NA_NA;date:2018-01-01T00:00:00:yyyy-MM-dd;Y;FR;lucas;;F;447;NA;NA;NA;NA;;;composite;;soil_core;10.1038/s41467-023-37937-4;sequencing;ITS1;target;pacbio;full_length;unite;UNITE v9;qiime2_vsearch;OTU;No
2018-01-01_Y_DE_LUCAS_F_504_NA_NA_NA_NA;date:2018-01-01T00:00:00:yyyy-MM-dd;Y;DE;lucas;;F;504;NA;NA;NA;NA;;;composite;;soil_core;10.1038/s41467-023-37937-4;sequencing;ITS1;target;pacbio;full_length;unite;UNITE v9;qiime2_vsearch;OTU;No
2018-01-01_Y_UK_LUCAS_F_813_NA_NA_NA_NA;date:2018-01-01T00:00:00:yyyy-MM-dd;Y;UK;lucas;;F;813;NA;NA;NA;NA;;;composite;;soil_core;;sequencing;ITS1;target;pacbio;full_length;unite;UNITE v9;qiime2_vsearch;OTU;No
2018-01-01_Y_FR_LUCAS_F_462_NA_NA_NA_NA;date:2018-01-01T00:00:00:yyyy-MM-dd;Y;FR;lucas;;F;462;NA;NA;NA;NA;;;composite;;soil_core;10.1038/s41467-023-37937-4;sequencing;ITS1;target;pacbio;full_length;unite;UNITE v9;qiime2_vsearch;OTU;No
2018-01-01_Y_FR_LUCAS_F_466_NA_NA_NA_NA;date:2018-01-01T00:00:00:yyyy-MM-dd;Y;FR;lucas;;F;466;NA;NA;NA;NA;;;composite;;soil_core;10.1038/s41467-023-37937-4;sequencing;ITS1;target;pacbio;full_length;unite;UNITE v9;qiime2_vsearch;OTU;No
2018-01-01_Y_FR_LUCAS_F_487_NA_NA_NA_NA;date:2018-01-01T00:00:00:yyyy-MM-dd;Y;FR;lucas;;F;487;NA;NA;NA;NA;;;composite;;soil_core;10.1038/s41467-023-37937-4;sequencing;ITS1;target;pacbio;full_length;unite;UNITE v9;qiime2_vsearch;OTU;No
2018-01-01_Y_FR_LUCAS_F_494_NA_NA_NA_NA;date:2018-01-01T00:00:00:yyyy-MM-dd;Y;FR;lucas;;F;494;NA;NA;NA;NA;;;composite;;soil_core;10.1038/s41467-023-37937-4;sequencing;ITS1;target;pacbio;full_length;unite;UNITE v9;qiime2_vsearch;OTU;No
2018-01-01_Y_FR_LUCAS_F_495_NA_NA_NA_NA;date:2018-01-01T00:00:00:yyyy-MM-dd;Y;FR;lucas;;F;495;NA;NA;NA;NA;;;composite;;soil_core;10.1038/s41467-023-37937-4;sequencing;ITS1;target;pacbio;full_length;unite;UNITE v9;qiime2_vsearch;OTU;No
2018-01-01_Y_FR_LUCAS_F_502_NA_NA_NA_NA;date:2018-01-01T00:00:00:yyyy-MM-dd;Y;FR;lucas;;F;502;NA;NA;NA;NA;;;composite;;soil_core;10.1038/s41467-023-37937-4;sequencing;ITS1;target;pacbio;full_length;unite;UNITE v9;qiime2_vsearch;OTU;No
2018-01-01_Y_BE_LUCAS_F_656_NA_NA_NA_NA;date:2018-01-01T00:00:00:yyyy-MM-dd;Y;BE;lucas;;F;656;NA;NA;NA;NA;;;composite;;soil_core;10.1038/s41467-023-37937-4;sequencing;ITS1;target;pacbio;full_length;unite;UNITE v9;qiime2_vsearch;OTU;No
2018-01-01_Y_BG_LUCAS_F_644_NA_NA_NA_NA;date:2018-01-01T00:00:00:yyyy-MM-dd;Y;BG;lucas;;F;644;NA;NA;NA;NA;;;composite;;soil_core;10.1038/s41467-023-37937-4;sequencing;ITS1;target;pacbio;full_length;unite;UNITE v9;qiime2_vsearch;OTU;No
2018-01-01_Y_BG_LUCAS_F_689_NA_NA_NA_NA;date:2018-01-01T00:00:00:yyyy-MM-dd;Y;BG;lucas;;F;689;NA;NA;NA;NA;;;composite;;soil_core;10.1038/s41467-023-37937-4;sequencing;ITS1;target;pacbio;full_length;unite;UNITE v9;qiime2_vsearch;OTU;No
2021-04-01_D_IT_Excalibur_F_4AOF-CRP_NA_NA_P_1;date:2021-04-01T00:00:00:yyyy-MM-dd;D;IT;excalibur;;F;4AOF-CRP;NA;NA;P;1;;;individual;;soil_core;;sequencing;ITS;target;illumina;300_bp;unite;;asv;No;
2021-04-01_D_IT_Excalibur_F_4AOF-CRP_NA_NA_P_2;date:2021-04-01T00:00:00:yyyy-MM-dd;D;IT;excalibur;;F;4AOF-CRP;NA;NA;P;2;;;individual;;soil_core;;sequencing;ITS;target;illumina;300_bp;unite;;asv;No;
2021-04-01_D_IT_Excalibur_F_4AOF-CRP_NA_NA_P_3;date:2021-04-01T00:00:00:yyyy-MM-dd;D;IT;excalibur;;F;4AOF-CRP;NA;NA;P;3;;;individual;;soil_core;;sequencing;ITS;target;illumina;300_bp;unite;;asv;No;
2021-04-01_D_IT_Excalibur_F_5AIF-CRP_NA_NA_P_1;date:2021-04-01T00:00:00:yyyy-MM-dd;D;IT;excalibur;;F;5AIF-CRP;NA;NA;P;1;;;individual;;soil_core;;sequencing;ITS;target;illumina;300_bp;unite;;asv;No;
2021-04-01_D_IT_Excalibur_F_5AIF-CRP_NA_NA_P_2;date:2021-04-01T00:00:00:yyyy-MM-dd;D;IT;excalibur;;F;5AIF-CRP;NA;NA;P;2;;;individual;;soil_core;;sequencing;ITS;target;illumina;300_bp;unite;;asv;No;
2021-04-01_D_IT_Excalibur_F_5AIF-CRP_NA_NA_P_3;date:2021-04-01T00:00:00:yyyy-MM-dd;D;IT;excalibur;;F;5AIF-CRP;NA;NA;P;3;;;individual;;soil_core;;sequencing;ITS;target;illumina;300_bp;unite;;asv;No;
2021-06-01_D_DE_Excalibur_F_6AOF-FOE_NA_NA_P_1;date:2021-06-01T00:00:00:yyyy-MM-dd;D;DE;excalibur;;F;6AOF-FOE;NA;NA;P;1;;;individual;;soil_core;;sequencing;ITS;target;illumina;300_bp;unite;;asv;No;
2021-06-01_D_DE_Excalibur_F_6AOF-FOE_NA_NA_P_2;date:2021-06-01T00:00:00:yyyy-MM-dd;D;DE;excalibur;;F;6AOF-FOE;NA;NA;P;2;;;individual;;soil_core;;sequencing;ITS;target;illumina;300_bp;unite;;asv;No;
2021-06-01_D_DE_Excalibur_F_6AOF-FOE_NA_NA_P_3;date:2021-06-01T00:00:00:yyyy-MM-dd;D;DE;excalibur;;F;6AOF-FOE;NA;NA;P;3;;;individual;;soil_core;;sequencing;ITS;target;illumina;300_bp;unite;;asv;No;
